Inputs	Hidden1 Nodes	Hidden2 Nodes	Hidden3 Nodes	Hidden4 Nodes	Hidden5 Nodes	Eta	Alpha	Steps	Val MAPE	Pseudo Test MAPE	Test MAPE
10	10	10	10	0	0	1	0.9	400	0.267150414	0.2686533322	
20	20	20	20	0	0	0.1	0.999	100	0.2509469303	0.2471272573	
20	20	20	20	0	0	0.1	0.999	200	0.2362228887	0.2337654808	0.2207012738
20	20	20	20	0	0	0.1	0.999	300	0.2299912902	0.2267953298	0.2203253117
20	20	20	20	0	0	0.1	0.999	400	0.2278354711	0.2248408622	0.2206265028
20	20	20	20	0	0	0.1	0.99	100	0.2509034421	0.2475472365	
20	20	20	20	0	0	0.1	0.99	200	0.2498872744	0.2465531814	
20	20	20	20	0	0	0.1	0.99	300	0.2495480073	0.2461144823	
20	20	20	20	0	0	0.1	0.99	400	0.249374399	0.2459759961	
20	20	20	20	0	0	0.1	0.9	100	0.2671413586	0.2686442989	
20	20	20	20	0	0	0.1	0.9	200	0.2671413443	0.2686442943	
20	20	20	20	0	0	0.1	0.9	300	0.2671413367	0.2686442869	
20	20	20	20	0	0	0.1	0.9	400	0.2671413367	0.2686442869	
20	20	20	20	0	0	0.5	0.999	100	0.2292876931	0.2257448702	
20	20	20	20	0	0	0.5	0.999	200	0.2238765327	0.2216010957	0.2235630628
20	20	20	20	0	0	0.5	0.999	300	0.2231488804	0.2197456327	0.2218195931
20	20	20	20	0	0	0.5	0.999	400	0.2217849212	0.2212957997	0.2194972695
20	20	20	20	0	0	0.5	0.99	100	0.2297668021	0.2265666705	
20	20	20	20	0	0	0.5	0.99	200	0.2219875411	0.2217440974	
20	20	20	20	0	0	0.5	0.99	300	0.2204108754	0.2202525423	0.2189788946
20	20	20	20	0	0	0.5	0.99	400	0.2196370908	0.2198855269	0.2182152804
20	20	20	20	0	0	0.5	0.9	100	0.2590614957	0.2565973219	
20	20	20	20	0	0	0.5	0.9	200	0.2590628369	0.2566012564	
20	20	20	20	0	0	0.5	0.9	300	0.2590344358	0.2565523183	
20	20	20	20	0	0	0.5	0.9	400	0.2590245854	0.256534784	
20	20	20	20	0	0	1	0.999	100	0.2294198557	0.2243963994	
20	20	20	20	0	0	1	0.999	200	0.2244967992	0.2220925277	
20	20	20	20	0	0	1	0.999	300	0.2270595141	0.2250000149	
20	20	20	20	0	0	1	0.999	400	0.2257873063	0.2226794632	
20	20	20	20	0	0	1	0.99	100	0.2239987396	0.2223034404	
20	20	20	20	0	0	1	0.99	200	0.2195587525	0.2183378224	0.2170793027
20	20	20	20	0	0	1	0.99	300	0.2186583994	0.2179796041	0.2163544461
20	20	20	20	0	0	1	0.99	400	0.2186283433	0.2186599362	0.2160358576
20	20	20	20	0	0	1	0.9	100	0.2500984139	0.2468047495	
20	20	20	20	0	0	1	0.9	200	0.2501275921	0.2468359516	
20	20	20	20	0	0	1	0.9	300	0.2501275917	0.2468359494	
20	20	20	20	0	0	1	0.9	400	0.2501267668	0.2468347008	
50	50	50	50	0	0	0.1	0.999	100	0.2376536057	0.2359218107	
50	50	50	50	0	0	0.1	0.999	200	0.2296476397	0.2277885068	
50	50	50	50	0	0	0.1	0.999	300	0.2241171112	0.2230937596	
50	50	50	50	0	0	0.1	0.999	400	0.2214037138	0.2217480304	
50	50	50	50	0	0	0.1	0.99	100	0.2403913745	0.2413946822	
50	50	50	50	0	0	0.1	0.99	200	0.2364040969	0.2362798123	
50	50	50	50	0	0	0.1	0.99	300	0.2344595135	0.2335449263	
50	50	50	50	0	0	0.1	0.99	400	0.2337624641	0.2326710357	
50	50	50	50	0	0	0.1	0.9	100	0.2507639874	0.248378017	
50	50	50	50	0	0	0.1	0.9	200	0.2507636542	0.2483775194	
50	50	50	50	0	0	0.1	0.9	300	0.2507648429	0.2483790617	
50	50	50	50	0	0	0.1	0.9	400	0.2507644855	0.2483792416	
50	50	50	50	0	0	0.5	0.999	100	0.224159868	0.2242090385	
50	50	50	50	0	0	0.5	0.999	200	0.2244197374	0.2206017426	
50	50	50	50	0	0	0.5	0.999	300	0.2221991769	0.2208659126	
50	50	50	50	0	0	0.5	0.999	400	0.2202722685	0.2207145779	
50	50	50	50	0	0	0.5	0.99	100	0.2242309112	0.2226170262	
50	50	50	50	0	0	0.5	0.99	200	0.2184990293	0.2181435716	0.2170532336
50	50	50	50	0	0	0.5	0.99	300	0.2174399935	0.2178771293	0.2161976926
50	50	50	50	0	0	0.5	0.99	400	0.2170931891	0.2174506156	0.2157801011
50	50	50	50	0	0	0.5	0.9	100	0.2403700726	0.2417155019	
50	50	50	50	0	0	0.5	0.9	200	0.2403812199	0.2417269548	
50	50	50	50	0	0	0.5	0.9	300	0.2403812199	0.2417269548	
50	50	50	50	0	0	0.5	0.9	400	0.2404104285	0.2417576497	
50	50	50	50	0	0	1	0.999	100	0.2321924443	0.2229612894	
50	50	50	50	0	0	1	0.999	200	0.2278352057	0.220513866	
50	50	50	50	0	0	1	0.999	300	0.2260685095	0.2228906725	
50	50	50	50	0	0	1	0.999	400	0.2243690936	0.2189662167	
50	50	50	50	0	0	1	0.99	100	0.2231881822	0.2219400538	
50	50	50	50	0	0	1	0.99	200	0.2531576551	0.2427213398	
50	50	50	50	0	0	1	0.99	300	0.2173461716	0.2176482633	
50	50	50	50	0	0	1	0.99	400	0.2165320781	0.2169620418	0.2158013348
50	50	50	50	0	0	1	0.9	100	0.2356384711	0.2357022316	
50	50	50	50	0	0	1	0.9	200	0.2358389228	0.2360038545	
50	50	50	50	0	0	1	0.9	300	0.2357594984	0.2359037085	
50	50	50	50	0	0	1	0.9	400	0.2358112931	0.2359790413	
100	100	100	100	0	0	0.1	0.999	100	0.2338563405	0.2328996623	
100	100	100	100	0	0	0.1	0.999	200	0.2265716634	0.2258716571	
100	100	100	100	0	0	0.1	0.999	300	0.2242205738	0.2223143495	
100	100	100	100	0	0	0.1	0.999	400	0.2223447614	0.2223514154	
100	100	100	100	0	0	0.1	0.99	100	0.236109755	0.2354065578	
100	100	100	100	0	0	0.1	0.99	200	0.2306826337	0.2295830517	
100	100	100	100	0	0	0.1	0.99	300	0.2286403379	0.2275442798	
100	100	100	100	0	0	0.1	0.99	400	0.2279508526	0.2269903325	
100	100	100	100	0	0	0.1	0.9	100	0.2431800415	0.2443162173	
100	100	100	100	0	0	0.1	0.9	200	0.2431798975	0.2443160155	
100	100	100	100	0	0	0.1	0.9	300	0.2431794987	0.2443158515	
100	100	100	100	0	0	0.1	0.9	400	0.2431796775	0.2443163643	
100	100	100	100	0	0	0.5	0.999	100	0.2271106627	0.2218479487	
